Date,Day of Week,Time,Active drivers,Online (h),Has booking (h),Waiting for booking (h),Busy (h),Hours per active driver,Rides per online hour,Finished Rides,People saw 0 cars (unique),People saw +1 cars (unique),Coverage Ratio (unique)
2016-12-18,7,23,52,18,6,11,11,0.3,0.67,12,9,32,78
2016-12-18,7,22,59,20,11,9,12,0.3,1.4,28,29,64,69
2016-12-18,7,21,72,25,7,18,15,0.3,0.64,16,5,39,89
2016-12-18,7,20,86,29,7,23,15,0.3,0.52,15,13,48,79
2016-12-18,7,19,82,31,14,17,19,0.4,1.16,36,12,77,87
2016-12-18,7,18,81,32,14,18,18,0.4,1,32,13,62,83
2016-12-18,7,17,72,30,13,17,13,0.4,0.87,26,9,61,87
2016-12-18,7,16,68,23,9,13,13,0.3,1.04,24,20,60,75
2016-12-18,7,15,65,24,5,19,12,0.4,0.5,12,7,37,84
2016-12-18,7,14,50,17,7,10,12,0.3,0.82,14,16,43,73
2016-12-18,7,13,44,15,7,7,12,0.3,1.47,22,19,46,71
2016-12-18,7,12,40,15,3,11,9,0.4,0.67,10,9,35,80
2016-12-18,7,11,38,10,2,8,7,0.3,0.5,5,9,20,69
2016-12-18,7,10,29,9,1,8,8,0.3,0.22,2,7,15,68
2016-12-18,7,9,22,7,1,6,7,0.3,0.14,1,7,5,42
2016-12-18,7,8,24,7,1,6,9,0.3,0.29,2,0,10,100
2016-12-18,7,7,28,9,1,8,11,0.3,0,3.5,1,4,80
2016-12-18,7,6,38,12,3,9,11,0.3,0.42,5,3,15,83
2016-12-18,7,5,46,16,7,9,13,0.3,0.69,11,12,33,73
2016-12-18,7,4,46,16,12,4,15,0.3,1.88,30,47,55,54
2016-12-18,7,3,54,23,10,12,16,0.4,1.17,27,15,72,83
2016-12-18,7,2,68,25,7,18,16,0.4,1,25,1,64,98
2016-12-18,7,1,79,25,13,12,22,0.3,1.16,29,21,69,77
2016-12-18,7,0,89,35,11,24,21,0.4,1.03,36,7,81,92
2016-12-17,6,23,100,38,12,27,19,0.4,0.82,31,10,79,89
2016-12-17,6,22,114,44,14,31,20,0.4,0.73,32,5,83,94
2016-12-17,6,21,103,39,18,21,24,0.4,1.21,47,25,96,79
2016-12-17,6,20,88,32,19,13,22,0.4,1.5,48,48,84,64
2016-12-17,6,19,84,28,16,13,23,0.3,1.36,38,34,89,72
2016-12-17,6,18,82,30,7,23,18,0.4,0.67,20,17,54,76
2016-12-17,6,17,69,23,10,14,16,0.3,0.91,21,24,63,72
2016-12-17,6,16,70,22,7,14,14,0.3,0.91,20,7,44,86
